Variable:,pr
,Moldova,Balti,Cahul,Chisinau,Dubasari,Edinet,Gagauzia,Lapusna,Orhei,Soroca,Tighina,Ungheni
2003,415.17,406.02,382.47,425.55,442.90,410.96,388.09,395.70,444.21,426.45,403.64,419.92
2004,557.91,523.68,565.68,582.36,581.50,494.00,583.77,579.49,568.58,524.07,590.29,564.51
2005,559.26,553.12,568.28,562.83,557.21,546.21,570.86,568.50,562.82,553.14,552.62,568.78
2006,485.93,499.15,467.70,478.61,482.60,504.77,471.63,474.64,498.88,500.44,448.58,514.76
2007,454.98,484.21,430.14,436.66,444.75,494.40,433.66,434.85,459.65,478.55,419.28,475.51
2008,482.28,507.30,420.51,472.08,488.51,528.41,433.63,457.73,496.23,509.16,451.39,504.47
2009,438.84,426.84,446.51,441.23,444.73,431.18,447.32,439.04,440.37,436.10,444.01,432.90
2010,639.20,632.98,606.55,648.03,654.77,623.42,621.15,636.46,662.16,642.09,634.86,662.81
2011,388.58,371.69,374.68,405.19,405.32,366.68,385.28,397.02,403.67,382.47,390.23,388.87
2012,513.89,499.33,504.00,517.73,514.55,518.58,509.75,516.93,525.31,524.01,502.51,522.07
2013,523.04,532.43,495.98,522.93,514.92,551.69,502.44,518.04,533.91,543.42,491.98,534.75
2014,553.84,525.62,596.76,567.42,550.90,504.05,596.19,578.71,563.56,528.08,556.77,562.25
2015,435.62,391.73,480.72,457.54,449.17,371.16,480.94,461.78,434.62,395.62,474.07,427.89
2016,534.49,495.22,554.14,553.08,550.53,481.99,557.65,556.44,546.39,513.33,551.20,543.99
2017,518.09,502.72,535.31,530.68,512.71,487.01,541.77,536.65,531.28,504.72,509.73,532.47
2018,502.30,502.21,473.21,505.40,513.96,509.96,487.79,496.01,515.87,512.60,489.08,505.48
2019,376.63,398.68,350.88,359.89,374.40,414.41,352.54,352.26,380.74,396.35,353.65,390.52
2020,440.81,465.26,407.28,424.85,434.39,489.57,410.71,421.14,448.86,466.71,401.11,458.04
2021,586.01,548.08,599.52,602.04,603.95,540.28,616.80,604.67,591.93,564.95,606.43,589.05
