Variable:,pr
,"Republic of Serbia",Borski,Branicevski,"Grad Beograd",Jablanicki,Juzno-backi,Juzno-banatski,Kolubarski,Macvanski,Moravicki,Nisavski,Pcinjski,Pirotski,Podunavski,Pomoravski,Rasinski,Raski,Severno-backi,Severno-banatski,Srednje-banatski,Sremski,Sumadijski,Toplicki,Zajecarski,Zapadno-backi,Zlatiborski
1943,674.26,590.52,630.23,654.09,611.66,565.00,577.71,778.97,749.87,852.94,603.59,595.60,607.04,641.55,647.49,719.65,884.54,510.02,488.58,519.77,626.73,709.35,692.70,601.46,559.52,984.31
1944,863.35,823.51,861.84,818.26,824.56,688.47,765.07,950.09,895.27,1071.65,825.88,804.06,859.65,849.68,875.22,941.82,1110.86,634.98,620.50,667.53,759.32,926.57,903.38,834.87,667.59,1161.06
1945,592.07,520.46,559.80,578.22,558.32,528.64,520.23,673.71,660.49,702.29,537.62,551.65,547.31,550.31,557.74,604.67,724.20,496.35,487.56,502.81,575.63,592.26,590.40,522.82,512.52,813.33
1946,614.95,570.98,584.17,577.65,602.85,507.26,529.90,684.46,649.05,741.87,582.89,592.82,615.99,573.89,596.08,654.08,773.52,483.59,475.90,497.36,553.09,625.76,646.53,582.41,502.60,841.27
1947,603.18,587.67,591.32,572.24,567.72,487.02,522.87,674.19,642.41,743.65,568.26,562.70,598.64,574.75,600.04,654.44,780.96,430.05,421.15,457.22,543.65,624.10,632.73,590.06,470.64,829.24
1948,659.41,601.53,633.90,644.14,591.46,579.13,574.47,758.31,739.81,793.70,593.99,569.83,602.74,619.91,631.41,679.96,818.19,537.07,513.97,537.49,633.13,670.74,652.99,599.27,580.41,930.34
1949,714.99,695.64,711.11,672.16,697.47,576.71,621.65,792.48,733.03,866.90,697.73,681.80,727.73,687.33,721.17,777.45,905.25,519.91,520.68,560.22,630.31,750.18,760.35,707.44,538.51,955.50
1950,633.57,577.03,616.08,608.49,572.39,539.31,567.22,704.53,673.73,777.86,564.63,572.15,569.58,614.17,622.62,678.94,810.46,531.44,511.75,529.44,580.93,668.56,645.32,567.89,550.97,858.71
1951,741.32,712.58,733.30,706.37,708.81,626.13,658.77,792.57,774.72,877.53,701.53,703.03,751.85,718.11,735.68,783.28,916.43,597.79,573.85,603.69,674.90,763.33,757.93,716.34,640.57,969.18
1952,763.20,720.02,750.77,746.03,671.59,639.43,673.78,854.24,836.98,934.32,688.55,637.32,691.63,744.11,766.80,816.31,969.20,605.40,602.84,624.77,708.39,798.84,771.32,718.33,617.43,1053.77
1953,634.68,648.98,652.68,603.60,601.36,521.17,577.01,684.83,672.21,746.35,613.55,579.42,650.98,618.27,639.11,669.99,776.73,493.41,488.53,514.86,568.90,657.03,653.13,634.17,508.06,817.86
1954,849.92,903.24,907.58,814.43,781.70,694.16,797.03,897.64,857.85,1011.86,824.68,742.20,867.67,863.73,891.80,919.07,1049.25,637.15,625.03,681.91,751.32,911.76,869.44,870.88,678.89,1062.83
1955,947.65,888.84,935.04,942.31,861.11,817.89,858.53,1079.76,1042.63,1143.90,860.84,851.81,920.18,933.48,928.95,975.46,1146.57,754.85,736.15,785.32,899.07,1002.07,918.54,891.50,801.48,1254.71
1956,750.56,769.52,780.68,701.19,767.01,605.24,667.89,773.62,755.20,849.55,762.91,751.79,804.44,733.37,779.92,823.17,921.74,558.81,547.82,591.17,662.99,768.40,810.90,782.22,599.74,916.84
1957,756.25,795.62,793.96,671.78,802.19,554.60,671.03,777.52,712.50,913.26,785.49,785.59,862.00,747.56,787.74,835.32,968.05,523.98,519.04,557.68,598.97,808.97,817.93,799.08,533.52,970.34
1958,663.46,557.37,587.19,643.38,596.81,551.02,550.69,807.45,719.91,875.32,587.73,562.07,572.41,615.54,627.95,717.44,891.23,509.20,499.33,523.54,606.95,703.30,689.81,571.64,533.93,1003.87
1959,779.56,678.36,724.48,743.33,738.99,642.67,653.44,901.42,849.91,973.08,725.11,726.11,763.82,734.06,759.30,845.40,1011.99,573.65,554.04,599.88,712.62,812.77,817.41,708.22,633.58,1117.38
1960,793.43,780.40,787.61,740.87,794.58,640.01,703.65,837.16,816.61,945.93,777.68,785.46,843.10,763.00,787.62,844.89,991.56,606.29,586.69,621.87,699.12,818.57,826.22,787.52,642.92,1038.43
1961,625.39,586.02,593.42,569.06,646.03,486.03,522.56,683.17,644.29,771.75,608.92,640.06,689.37,575.97,617.77,687.82,813.58,438.23,426.15,465.64,535.21,636.70,672.67,609.69,487.56,868.45
1962,699.14,628.54,648.08,642.19,700.62,539.95,583.18,766.87,718.75,890.65,669.93,699.84,712.79,654.22,685.90,777.30,958.07,490.45,470.08,508.15,600.90,736.16,750.35,667.64,543.63,991.77
1963,767.30,652.74,697.25,729.51,742.83,642.07,648.85,863.47,826.39,957.57,692.50,740.45,723.76,717.87,735.24,830.83,1015.71,602.07,583.70,609.15,704.40,793.71,805.54,680.10,614.09,1090.45
1964,803.42,744.44,776.12,795.03,716.50,699.54,722.58,913.11,904.78,976.32,735.93,690.35,742.05,778.61,768.61,814.66,994.85,648.95,630.75,669.08,767.34,844.32,784.58,748.63,688.37,1091.48
1965,720.34,639.65,689.55,736.46,582.68,672.94,667.90,831.86,825.02,874.21,616.11,552.34,586.84,713.20,677.67,717.00,873.25,664.15,637.77,643.61,724.36,768.07,680.97,622.58,687.68,972.51
1966,840.94,866.43,879.47,800.34,800.64,673.46,753.10,912.99,848.85,1012.29,801.74,767.63,827.17,842.09,873.41,910.37,1035.44,630.04,619.14,659.03,733.20,904.73,882.97,826.59,658.29,1119.37
1967,724.31,646.79,682.49,694.12,661.50,598.39,630.81,816.11,773.79,915.58,678.02,659.84,673.75,685.27,714.38,797.44,945.52,540.89,529.08,575.30,659.86,759.77,762.39,672.93,586.41,1012.21
1968,768.49,706.69,739.49,729.19,713.71,612.78,662.53,884.45,821.62,990.52,716.41,695.42,718.53,736.63,761.16,841.87,1024.29,532.99,529.96,587.15,680.80,820.00,805.45,714.00,562.29,1108.80
1969,860.04,829.14,861.92,850.52,756.01,749.34,785.46,994.98,933.39,1047.75,776.58,722.63,771.35,842.04,843.60,886.98,1056.40,679.95,671.21,723.02,813.29,903.57,851.70,792.60,715.92,1171.98
1970,855.33,869.43,899.14,853.43,744.80,720.19,798.28,991.78,909.56,1040.89,773.73,702.32,764.87,875.82,856.52,864.72,1049.73,645.87,644.08,706.07,788.14,930.74,827.24,808.38,692.26,1164.08
1971,674.05,718.10,693.65,591.99,715.73,483.91,553.73,705.71,636.04,814.90,715.96,716.56,778.60,624.98,716.16,772.16,862.58,438.61,436.66,473.43,532.57,687.58,759.69,734.64,453.70,895.48
1972,774.33,749.72,760.47,725.08,744.08,658.99,670.27,846.69,824.20,915.32,732.15,738.67,767.55,731.26,765.69,822.98,958.35,614.78,584.05,613.10,709.37,792.64,801.33,750.05,670.02,1032.69
1973,681.31,654.82,639.41,593.05,735.62,516.21,547.05,713.70,669.67,836.34,704.55,730.04,769.16,596.23,684.51,777.18,905.37,472.71,461.24,495.73,564.61,670.48,765.26,704.81,517.48,924.59
1974,848.17,773.72,838.27,861.56,710.51,752.14,798.11,972.50,938.49,1043.10,755.23,682.11,716.50,849.43,827.95,866.99,1044.40,694.16,687.33,742.26,819.59,908.26,828.17,763.24,731.18,1145.79
1975,744.38,817.31,826.14,724.84,706.97,636.97,702.65,762.79,754.95,817.01,743.48,689.92,813.28,770.26,776.95,757.87,842.01,595.54,591.16,623.49,680.23,797.87,734.86,789.25,614.92,860.73
1976,804.96,751.99,761.00,716.15,837.70,604.53,654.94,872.87,808.65,1016.17,812.47,813.01,861.48,733.42,812.58,919.87,1077.61,565.71,554.04,581.55,663.72,823.26,900.41,805.24,575.35,1126.15
1977,750.71,732.89,763.56,757.98,637.77,646.15,687.00,890.44,842.86,918.08,670.69,601.38,680.00,757.57,743.67,764.15,910.60,568.51,560.61,621.60,716.62,808.95,724.01,697.83,621.18,1026.46
1978,801.80,761.85,792.41,764.02,743.36,636.86,696.26,929.69,843.73,1024.58,738.70,714.75,763.12,777.53,800.79,866.25,1047.70,562.61,559.81,617.22,705.46,851.33,828.81,747.62,588.08,1157.06
1979,802.27,772.08,770.89,706.74,823.91,600.71,647.97,891.25,791.52,1024.39,771.42,804.39,842.59,723.97,799.99,898.45,1085.15,559.10,544.64,575.47,656.30,814.24,875.69,774.90,592.31,1175.31
1980,845.67,849.02,855.21,794.62,802.47,676.83,736.28,928.12,886.24,1020.02,827.10,767.65,823.13,811.53,866.38,927.65,1065.29,622.45,613.38,658.27,746.61,883.45,901.82,840.20,654.05,1140.93
1981,846.98,796.47,829.99,817.98,783.52,694.92,755.05,955.66,892.44,1069.05,804.02,733.90,793.95,824.58,846.51,914.88,1091.17,621.96,613.50,673.90,764.08,904.56,875.21,811.64,678.39,1154.92
1982,680.31,689.34,706.80,641.97,637.70,558.44,613.50,748.83,707.39,790.12,650.05,643.94,678.06,673.42,697.30,728.35,839.97,521.49,512.78,541.04,602.08,723.86,690.92,666.97,555.30,887.76
1983,617.44,587.90,600.10,548.43,663.29,466.01,507.25,629.33,610.02,741.26,626.99,684.16,714.62,580.53,640.05,706.19,819.76,415.34,405.28,442.34,516.57,637.55,679.28,635.62,455.74,812.89
1984,687.99,624.96,650.15,657.25,620.95,580.61,598.05,798.84,774.93,866.95,607.71,582.88,649.42,650.92,645.57,699.32,880.30,543.38,520.73,547.77,637.77,714.69,666.00,617.91,596.73,1011.07
1985,654.68,580.22,624.79,642.47,565.08,576.16,588.06,757.47,739.34,810.30,571.47,529.73,552.51,633.83,624.19,679.83,836.63,533.60,520.61,550.17,627.67,688.93,651.50,572.54,570.00,932.27
1986,665.72,590.57,624.42,611.62,636.35,526.54,550.92,773.77,715.59,845.10,617.15,618.62,621.94,624.91,654.62,735.64,903.23,474.09,455.81,491.33,582.36,695.45,706.48,608.56,535.09,982.28
1987,752.99,695.98,722.40,696.16,722.76,617.21,638.60,833.56,794.21,904.96,705.97,702.60,714.16,711.30,746.31,830.81,974.09,598.45,572.02,581.18,668.79,779.34,800.59,706.95,638.79,1048.39
1988,634.64,622.53,631.37,596.59,612.67,507.14,544.18,720.21,664.11,772.11,599.70,594.15,621.12,611.21,635.19,683.77,803.87,484.08,467.99,485.25,557.46,665.04,666.53,605.57,499.73,877.34
1989,699.56,640.74,686.69,701.22,617.03,621.45,638.40,791.48,771.57,844.20,631.08,598.58,641.26,698.40,678.83,716.31,873.63,558.50,546.73,591.07,678.81,749.95,681.14,640.84,598.39,931.41
1990,571.66,548.81,582.97,553.34,532.85,477.18,529.32,620.29,593.18,672.99,534.96,519.95,547.42,582.75,576.00,611.88,719.37,453.16,440.45,459.83,515.32,620.49,589.47,540.57,479.59,742.91
1991,816.31,803.39,835.45,807.26,724.13,688.84,753.77,935.76,901.67,983.95,740.45,703.55,778.50,815.72,805.98,837.20,995.77,630.46,617.40,669.16,761.36,861.23,804.42,769.26,676.03,1091.87
1992,640.43,586.18,612.11,634.84,585.90,562.73,572.27,735.05,707.84,780.48,574.21,577.40,593.15,609.38,608.51,657.23,779.08,503.17,486.27,531.07,615.88,656.85,636.58,581.36,561.11,888.69
1993,602.38,526.68,558.56,609.03,491.62,550.11,549.91,708.28,690.22,756.48,506.22,465.62,500.63,578.97,557.78,615.72,751.93,503.36,481.71,512.60,596.93,632.92,586.10,513.56,557.57,870.67
1994,622.50,603.10,618.41,593.13,599.16,519.78,551.90,682.13,664.22,735.23,587.91,596.30,621.83,603.99,618.07,664.08,774.77,480.01,464.38,495.18,567.57,646.42,649.73,595.08,519.01,819.07
1995,848.32,828.11,841.56,800.02,803.18,691.50,736.76,948.69,898.43,1026.53,817.30,773.07,860.40,818.78,848.57,902.20,1067.02,655.41,639.47,664.63,753.74,881.27,879.24,831.44,670.35,1144.46
1996,832.42,752.59,791.62,819.14,723.94,699.03,738.75,987.61,910.94,1066.53,766.83,677.91,761.40,808.43,808.12,866.66,1053.50,640.68,628.51,675.53,767.05,886.21,824.41,766.26,681.14,1192.20
1997,704.21,722.22,729.92,695.00,622.43,597.58,659.67,805.22,767.39,843.92,654.44,583.51,681.59,700.04,706.46,736.38,860.81,516.42,510.93,575.69,661.07,743.55,708.39,683.66,567.85,923.25
1998,775.03,760.12,771.40,727.40,716.15,635.07,685.99,838.88,795.48,942.67,726.32,694.89,756.63,747.41,776.29,839.58,993.31,626.42,603.70,617.29,682.18,812.51,807.02,744.67,657.13,1042.09
1999,891.02,823.52,866.90,903.38,752.80,796.27,819.52,1031.14,1013.57,1090.73,771.64,713.72,784.33,875.42,848.97,900.73,1089.77,756.71,740.12,771.62,870.27,937.60,852.34,790.85,789.72,1211.28
2000,489.69,443.25,438.43,423.05,474.05,357.08,381.62,546.23,497.67,642.95,474.60,451.03,468.99,432.03,478.38,575.96,702.14,339.27,327.80,343.72,394.05,511.34,566.20,468.75,360.97,761.32
2001,798.21,787.61,823.42,819.27,654.26,714.55,758.87,919.26,903.86,973.19,700.37,592.58,683.75,803.76,793.47,817.83,974.57,623.78,620.72,672.64,790.43,843.24,755.78,738.48,663.37,1077.44
2002,753.55,683.89,711.46,699.62,737.46,601.23,630.63,850.28,804.99,940.96,716.28,738.05,746.98,706.70,741.77,821.14,987.85,547.83,534.52,572.46,661.45,781.14,795.58,706.73,588.93,1068.46
2003,661.27,668.23,669.13,604.85,670.81,506.16,564.50,703.16,646.23,789.33,669.23,666.65,695.11,633.94,693.79,751.79,869.28,460.67,453.59,498.87,558.50,694.16,734.69,675.08,493.09,854.80
2004,862.74,792.59,842.67,850.18,716.59,737.26,787.08,1007.77,949.33,1092.72,757.50,682.94,750.61,851.11,841.75,909.31,1100.48,681.33,673.34,715.33,804.21,931.31,847.18,778.22,719.76,1223.14
2005,909.66,914.94,931.21,858.93,837.81,751.79,801.72,991.32,954.49,1082.86,868.93,790.08,891.02,879.06,935.07,985.61,1154.03,706.28,694.47,730.33,817.51,951.34,932.85,899.89,743.43,1198.19
2006,753.16,758.11,762.63,696.62,730.59,619.32,656.93,807.46,765.58,888.14,732.91,727.57,772.81,718.44,762.41,807.50,944.11,592.20,582.56,601.43,662.34,778.45,780.28,750.56,601.34,983.93
2007,804.29,838.29,825.10,731.32,813.04,636.04,700.31,840.36,803.75,941.59,813.67,789.09,857.71,755.88,831.35,886.61,1027.87,591.91,580.68,618.68,694.41,818.42,861.33,824.23,616.74,1036.81
2008,719.55,679.14,720.20,699.62,629.58,602.05,652.79,814.80,770.67,889.27,648.11,598.84,638.68,706.66,717.14,765.15,918.29,566.66,561.03,595.22,653.01,761.11,722.34,663.86,589.70,1004.74
2009,822.47,778.63,800.83,770.11,794.40,650.29,699.53,916.97,846.38,1026.54,782.02,781.42,816.57,788.42,825.62,898.00,1078.56,600.38,585.48,626.73,715.04,873.59,865.05,790.66,634.19,1143.51
2010,1015.00,938.69,1007.75,1026.39,848.49,894.56,924.61,1177.15,1129.96,1256.08,880.05,808.99,867.33,1007.81,1006.38,1048.87,1264.31,829.09,821.86,858.20,977.45,1084.76,969.48,911.53,865.44,1398.10
2011,525.97,520.58,518.73,495.81,488.22,421.09,462.65,589.92,559.44,647.54,490.71,475.91,516.10,497.38,514.25,561.95,673.01,384.71,385.85,416.48,467.09,541.77,549.68,508.54,405.19,737.80
2012,677.10,653.58,663.02,638.60,640.82,533.72,581.26,761.81,713.58,843.98,641.13,626.08,664.23,652.64,678.52,736.89,878.40,485.95,476.80,515.43,594.77,719.08,708.87,657.12,520.54,944.80
2013,781.52,720.00,760.50,774.10,663.70,639.80,677.31,928.78,872.96,1010.03,693.44,621.90,680.82,770.98,782.29,837.41,1023.15,570.88,550.61,595.80,721.63,851.60,777.49,715.97,613.04,1149.52
2014,973.92,904.89,944.78,929.39,910.24,817.21,837.07,1128.75,1080.87,1202.67,904.11,895.02,954.28,932.55,946.72,1025.22,1233.55,722.32,700.04,754.39,906.37,1026.97,992.96,910.89,780.07,1348.19
2015,724.33,716.33,713.31,661.66,737.26,587.13,628.32,775.35,728.03,864.38,704.08,741.46,756.43,681.66,718.58,781.41,915.55,544.57,533.58,569.74,631.59,743.48,769.78,710.95,580.59,959.89
2016,905.22,867.91,914.17,877.99,849.18,740.19,809.11,1005.88,930.56,1103.27,852.87,822.77,871.29,896.61,918.25,973.35,1138.98,692.99,686.54,726.30,804.50,968.62,927.85,865.73,729.65,1210.88
2017,699.58,673.28,682.13,655.33,686.70,581.61,602.41,750.48,702.85,839.79,669.92,687.21,719.64,667.29,700.49,758.65,884.29,547.57,529.07,555.69,620.67,732.35,737.23,680.64,577.58,924.04
2018,737.47,723.07,738.61,704.52,678.63,617.35,655.00,825.08,784.54,894.33,687.77,665.40,719.06,716.75,737.41,781.81,919.32,557.25,546.81,590.58,674.54,776.32,749.08,711.19,599.76,995.98
2019,774.20,669.96,708.50,752.59,716.41,641.62,643.00,916.83,880.98,988.28,698.27,700.55,709.14,729.61,742.57,823.65,1015.55,577.24,550.97,584.17,724.32,816.19,789.87,690.41,622.14,1134.31
2020,728.52,736.30,739.76,681.02,703.80,591.96,648.79,784.14,734.52,868.43,703.46,691.32,742.61,704.16,735.62,784.30,912.59,552.48,545.99,584.43,637.96,760.87,761.58,727.23,581.81,955.78
2021,781.27,785.70,786.44,695.59,782.28,582.00,653.08,848.88,777.90,969.93,779.11,766.29,820.47,747.84,812.61,880.07,1032.92,522.87,518.08,569.61,647.33,833.97,848.23,798.40,558.85,1074.68
