Variable:,pr
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
1927,1237.44,1173.36,1132.69,1446.65,881.77,1165.40,1270.13,1163.37,1143.50,1373.77,1168.30,1160.53,1232.03,1037.89,952.00,1341.49,1175.60,1136.16,1431.90,1437.55,1104.58,1181.71,1484.32,1196.64,1259.81,1309.24,1236.80,1309.63,951.43,1305.40,1471.77,1460.01,1217.54,1368.05,1218.49,1262.93,1324.54
1928,1219.41,1178.93,1086.19,1606.29,935.73,1077.70,1213.24,1143.52,1134.99,1507.29,1188.30,1034.13,1185.79,1157.44,996.21,1265.47,1172.60,1033.19,1329.60,1335.10,1078.43,1169.00,1307.52,1206.13,1176.46,1212.87,1191.20,1431.61,980.70,1171.43,1650.21,1311.81,1267.85,1447.07,1175.75,1118.19,1370.64
1929,1128.78,1046.14,1076.73,1252.67,847.73,1115.42,1153.81,1071.19,1014.82,1198.52,1049.30,1135.76,1117.74,961.32,895.50,1214.84,1043.90,1108.14,1297.00,1303.30,1049.34,1053.96,1349.88,1060.72,1174.54,1212.79,1119.70,1151.90,901.29,1222.23,1271.76,1331.00,1084.87,1190.04,1111.33,1201.07,1152.45
1930,1201.09,1122.09,1068.31,1510.00,985.18,1056.86,1175.96,1110.54,1050.02,1458.52,1174.30,1048.06,1140.03,1240.98,1023.70,1244.37,1091.50,1029.62,1330.10,1335.42,1061.73,1094.40,1370.57,1128.21,1163.27,1203.59,1145.10,1417.20,997.97,1197.97,1539.39,1352.38,1251.10,1374.68,1135.02,1152.88,1272.62
1931,1264.54,1208.61,1119.36,1579.47,952.46,1127.21,1270.98,1172.96,1174.62,1491.21,1204.20,1125.42,1232.54,1168.68,1008.77,1333.04,1210.20,1100.67,1419.00,1426.18,1104.24,1208.66,1464.61,1238.58,1236.13,1283.80,1233.50,1422.09,996.23,1282.35,1615.88,1451.46,1275.66,1451.36,1215.24,1235.39,1388.52
1932,962.17,856.34,878.08,1027.48,651.88,944.10,1010.14,875.99,841.06,977.81,851.70,965.09,960.98,764.45,700.65,1095.27,858.60,931.51,1211.30,1216.35,835.73,876.37,1326.52,869.47,1029.79,1088.56,960.90,935.38,701.47,1125.84,1044.85,1291.67,881.13,971.73,943.42,1090.93,945.34
1933,1249.48,1182.47,1117.34,1484.34,896.77,1131.55,1287.38,1163.96,1175.71,1399.37,1159.80,1121.07,1245.99,1095.65,954.49,1344.67,1194.60,1097.89,1431.60,1441.35,1095.37,1201.72,1554.20,1214.45,1243.61,1293.55,1244.00,1332.13,946.66,1316.08,1515.08,1527.10,1217.29,1383.37,1223.37,1267.93,1348.33
1934,1149.13,1086.29,1050.61,1340.70,843.13,1072.86,1187.97,1082.77,1057.52,1281.55,1086.60,1061.19,1154.25,1010.22,901.59,1248.98,1085.50,1042.81,1327.80,1333.20,1027.12,1094.77,1357.05,1105.56,1165.66,1210.39,1157.70,1229.58,895.29,1203.06,1361.99,1347.42,1134.92,1266.76,1139.66,1160.43,1222.76
1935,1235.78,1214.72,1103.38,1569.65,902.78,1091.69,1240.77,1168.48,1177.02,1489.15,1212.30,1058.21,1208.28,1107.49,978.08,1298.89,1215.20,1048.68,1374.10,1379.81,1094.78,1207.36,1348.64,1245.40,1203.15,1243.80,1211.80,1418.56,967.01,1204.10,1600.28,1354.03,1281.86,1472.81,1196.35,1147.36,1411.23
1936,1278.51,1217.07,1171.75,1527.68,1068.00,1152.44,1270.14,1212.38,1145.13,1485.66,1263.80,1120.15,1237.55,1278.88,1111.34,1338.09,1189.80,1115.07,1418.30,1422.97,1169.18,1192.08,1444.71,1219.27,1257.25,1294.06,1245.20,1448.78,1091.83,1272.31,1549.67,1426.47,1323.24,1423.95,1236.40,1220.95,1337.16
1937,1552.85,1491.00,1439.00,1787.22,1165.33,1423.30,1586.67,1490.91,1434.87,1726.52,1502.60,1418.32,1553.87,1367.35,1246.62,1651.51,1483.70,1386.61,1728.20,1735.74,1428.53,1489.86,1863.83,1507.33,1544.38,1587.44,1562.70,1666.17,1241.71,1607.24,1808.72,1810.85,1559.17,1707.94,1545.64,1561.24,1639.01
1938,1103.73,1041.71,995.66,1429.10,864.59,1021.97,1061.82,1017.58,986.64,1350.79,1063.70,1012.39,1029.21,1071.04,908.90,1128.57,1028.30,998.29,1209.90,1212.89,975.23,1021.51,1192.86,1060.49,1087.10,1123.20,1034.40,1291.03,895.32,1105.44,1466.34,1197.53,1137.06,1283.22,1027.56,1072.56,1200.69
1939,1417.92,1379.61,1253.52,1848.53,1101.52,1230.92,1380.65,1325.06,1333.65,1744.30,1392.10,1218.70,1349.54,1367.53,1165.42,1430.08,1371.40,1195.97,1497.50,1505.29,1250.36,1360.56,1550.99,1414.82,1339.10,1374.84,1352.00,1663.25,1144.95,1370.94,1891.04,1535.49,1480.49,1704.91,1339.24,1327.89,1628.56
1940,1395.21,1345.96,1271.54,1634.72,1114.44,1270.73,1389.66,1319.97,1285.84,1588.46,1372.30,1263.29,1356.64,1311.57,1175.07,1449.77,1330.30,1240.81,1525.40,1532.52,1260.87,1328.20,1610.11,1360.21,1367.72,1407.16,1362.20,1542.35,1161.75,1412.40,1651.56,1575.86,1428.96,1570.19,1348.93,1371.73,1501.02
1941,1159.41,1061.42,1053.56,1264.66,777.20,1115.61,1221.60,1068.23,1058.33,1194.51,1033.30,1153.05,1172.65,907.04,839.02,1297.55,1076.90,1106.74,1407.10,1414.87,1011.73,1093.08,1570.95,1087.85,1211.77,1273.00,1170.70,1135.65,843.18,1321.63,1287.46,1510.93,1069.81,1203.09,1147.84,1290.59,1183.42
