Variable:,tas
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1944,1.01,1.56,1.27,0.49,0.27,0.89,1.51,0.22,4.20,2.91,1.38,1.38,1.13,0.38,1.07,2.17,0.25,2.63,1.02,1.48,-0.08,1.81,0.81,1.54,2.60
1945,2.23,2.77,2.47,1.70,1.51,2.09,2.72,1.41,5.42,4.11,2.57,2.57,2.32,1.61,2.28,3.38,1.46,3.82,2.22,2.71,1.14,3.00,2.01,2.72,3.82
1946,2.37,2.92,2.62,1.84,1.64,2.24,2.87,1.56,5.58,4.26,2.73,2.73,2.48,1.73,2.45,3.52,1.60,3.98,2.36,2.82,1.28,3.17,2.17,2.89,3.95
1947,1.60,2.12,2.00,1.15,0.73,1.50,2.18,0.91,4.80,3.49,2.00,2.00,1.90,0.85,1.83,2.62,0.92,3.27,1.74,1.92,0.52,2.57,1.48,2.30,3.05
1948,1.50,2.03,1.79,1.00,0.74,1.37,2.02,0.73,4.71,3.37,1.87,1.87,1.66,0.84,1.61,2.61,0.75,3.12,1.53,1.94,0.42,2.35,1.31,2.07,3.06
1949,0.66,1.15,0.84,0.12,-0.00,0.46,1.05,-0.14,3.81,2.49,0.93,0.93,0.71,0.11,0.80,1.78,-0.12,2.17,0.61,1.22,-0.38,1.36,0.42,1.10,2.27
1950,1.28,1.83,1.53,0.74,0.59,1.14,1.74,0.44,4.54,3.19,1.61,1.61,1.40,0.66,1.34,2.44,0.46,2.87,1.27,1.77,0.15,2.07,1.07,1.80,2.94
1951,0.78,1.32,0.99,0.18,0.14,0.60,1.20,-0.08,4.01,2.67,1.08,1.08,0.85,0.19,0.86,1.96,-0.05,2.32,0.72,1.31,-0.31,1.53,0.49,1.27,2.48
1952,0.99,1.51,1.28,0.46,0.28,0.84,1.49,0.14,4.21,2.90,1.33,1.33,1.15,0.36,1.05,2.11,0.18,2.63,1.00,1.47,-0.14,1.83,0.78,1.55,2.60
1953,2.07,2.51,2.20,1.54,1.39,1.79,2.42,1.33,5.11,3.82,2.26,2.26,2.07,1.58,2.31,3.12,1.33,3.53,1.98,2.65,1.09,2.72,1.80,2.44,3.60
