Variable:,pr
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1944,1440.10,1378.10,1743.73,1355.30,1287.49,1494.30,1499.90,1503.94,1404.57,1447.92,1457.15,1383.34,1442.33,1360.65,1310.67,1358.83,1629.11,1270.90,1413.67,1494.30,1691.76,1319.11
1945,1038.85,989.80,1303.63,962.30,922.25,1148.40,1119.09,1090.07,1039.63,1043.25,1075.27,988.42,1040.12,968.01,917.30,941.18,1199.09,860.50,1006.62,1148.40,1299.30,922.74
1946,1054.75,1022.20,1279.17,1001.53,952.47,1120.80,1109.11,1117.49,1033.93,1078.43,1073.87,1020.44,1054.71,1006.09,944.37,942.14,1200.97,925.00,1036.97,1120.80,1243.25,949.59
1947,1084.75,1024.10,1360.76,1005.05,939.53,1182.10,1166.40,1132.22,1088.88,1080.06,1125.54,1024.68,1093.31,1011.53,961.09,991.30,1248.76,934.50,1048.43,1182.10,1356.09,968.83
1948,1124.74,1094.40,1263.48,1065.90,1047.82,1160.70,1161.55,1173.36,1086.58,1143.43,1143.02,1104.48,1137.60,1066.90,1060.24,1093.25,1216.86,960.40,1125.37,1160.70,1219.94,1067.06
1949,1196.88,1149.30,1462.51,1130.99,1085.21,1229.40,1245.86,1243.69,1163.73,1197.52,1212.21,1151.40,1198.29,1138.94,1093.09,1086.82,1360.17,1063.20,1167.78,1229.40,1471.79,1101.99
1950,1136.15,1040.50,1522.54,1023.02,960.25,1250.40,1248.54,1186.53,1160.26,1110.66,1197.93,1042.27,1157.47,1032.56,958.26,1023.68,1359.07,958.30,1070.07,1250.40,1507.05,963.47
1951,1272.32,1143.20,1655.52,1128.10,1080.37,1522.50,1433.62,1313.09,1329.24,1230.00,1362.18,1167.73,1279.06,1136.78,1104.41,1182.70,1479.06,1072.20,1207.43,1522.50,1632.12,1112.31
1952,1359.79,1280.10,1676.20,1256.84,1193.64,1501.00,1460.69,1423.17,1374.59,1359.97,1407.22,1293.54,1364.28,1262.62,1221.43,1251.44,1548.78,1170.70,1326.69,1501.00,1638.70,1230.48
1953,982.07,908.50,1228.46,900.80,883.10,1136.20,1073.42,983.60,988.94,938.59,1023.36,918.67,965.54,906.75,901.59,932.27,1108.48,872.30,934.35,1136.20,1226.54,905.67
1954,1299.35,1206.20,1655.76,1199.71,1149.88,1509.40,1426.51,1305.40,1322.93,1244.03,1356.28,1208.09,1276.82,1207.29,1168.16,1199.19,1484.76,1175.70,1225.80,1509.40,1709.95,1174.43
1955,1497.61,1427.10,1768.84,1403.73,1355.39,1618.80,1581.90,1538.29,1487.12,1485.78,1534.93,1439.52,1496.36,1409.19,1397.09,1430.14,1654.36,1317.20,1467.94,1618.80,1751.88,1404.00
1956,1179.50,1101.40,1465.06,1094.60,1031.41,1321.20,1282.41,1225.34,1185.00,1166.87,1236.01,1108.67,1187.35,1099.95,1038.20,1068.41,1342.13,1069.40,1134.04,1321.20,1519.48,1047.25
1957,1211.08,1111.10,1471.10,1107.04,1062.26,1359.10,1315.76,1252.20,1225.09,1189.00,1272.18,1136.58,1226.01,1113.25,1085.15,1160.98,1355.56,1092.00,1173.34,1359.10,1434.37,1093.12
1958,1357.37,1267.10,1673.36,1236.05,1169.73,1512.30,1486.15,1426.14,1386.97,1354.30,1442.99,1277.76,1397.00,1242.87,1188.95,1260.32,1543.36,1121.10,1315.29,1512.30,1674.12,1200.27
1959,1429.58,1344.20,1645.50,1316.11,1266.48,1516.40,1521.11,1503.02,1431.91,1440.23,1500.04,1369.27,1483.96,1321.69,1296.06,1401.72,1563.01,1212.10,1415.00,1516.40,1636.12,1306.36
1960,1413.53,1257.70,1855.87,1242.64,1167.24,1674.10,1602.64,1474.37,1487.74,1371.25,1531.59,1284.90,1448.04,1252.62,1193.73,1311.32,1655.98,1186.90,1337.09,1674.10,1839.66,1203.92
1961,1116.49,1051.70,1255.59,1032.92,990.26,1188.30,1198.49,1173.91,1130.66,1125.52,1191.56,1066.85,1178.44,1035.24,1001.31,1096.98,1202.25,963.40,1101.25,1188.30,1243.07,1008.77
1962,1353.39,1316.90,1720.54,1291.40,1187.97,1453.10,1443.90,1451.97,1333.06,1392.97,1390.09,1285.41,1360.89,1299.12,1121.22,1186.84,1593.30,1197.00,1303.63,1453.10,1680.61,1130.52
1963,1459.84,1381.90,1812.45,1355.36,1270.37,1590.20,1573.02,1554.84,1454.26,1482.01,1523.31,1381.68,1487.36,1363.71,1250.47,1335.00,1681.25,1257.10,1418.07,1590.20,1787.63,1260.02
1964,1364.75,1299.80,1553.33,1275.41,1225.64,1444.00,1447.45,1429.97,1367.83,1377.70,1429.03,1317.39,1411.30,1278.37,1254.36,1303.71,1483.32,1185.10,1351.93,1444.00,1496.44,1263.35
1965,1202.27,1126.90,1379.81,1103.95,1066.57,1286.70,1286.20,1244.71,1218.28,1193.12,1268.61,1151.87,1247.02,1105.89,1122.48,1169.69,1304.21,1019.00,1186.91,1286.70,1318.76,1131.36
1966,1480.22,1343.40,1782.73,1312.69,1259.81,1669.30,1641.00,1536.31,1546.70,1448.40,1605.05,1385.09,1550.01,1317.95,1340.65,1424.50,1644.19,1199.00,1440.37,1669.30,1732.87,1352.76
1967,1217.21,1183.00,1361.13,1162.73,1127.27,1237.30,1249.88,1262.12,1183.04,1230.54,1233.70,1193.03,1232.24,1165.82,1154.16,1176.35,1311.70,1087.70,1214.87,1237.30,1310.53,1162.82
1968,1401.97,1315.60,1656.82,1289.95,1246.88,1533.60,1500.55,1452.30,1402.85,1392.28,1460.20,1341.84,1421.01,1296.13,1300.23,1345.16,1550.00,1195.00,1379.82,1533.60,1591.06,1310.29
1969,1498.94,1383.30,1820.22,1355.38,1303.67,1698.80,1645.08,1545.96,1542.46,1468.94,1594.27,1411.21,1531.28,1361.86,1363.10,1425.71,1675.12,1252.00,1454.50,1698.80,1780.72,1373.93
1970,1447.38,1381.00,1615.16,1351.31,1305.24,1489.70,1522.62,1520.92,1432.44,1466.57,1516.73,1408.11,1511.93,1355.15,1354.95,1377.29,1558.22,1241.40,1446.56,1489.70,1536.23,1365.78
1971,1167.72,1101.70,1471.80,1081.65,1029.68,1347.20,1289.84,1207.22,1197.81,1151.55,1236.78,1095.02,1174.45,1086.19,1015.81,1046.42,1339.49,1007.40,1111.25,1347.20,1472.71,1024.16
1972,1267.98,1213.40,1557.67,1192.13,1157.03,1435.20,1367.45,1289.36,1260.58,1244.44,1309.32,1208.70,1246.46,1198.25,1159.93,1160.46,1428.80,1113.40,1218.92,1435.20,1567.11,1167.83
1973,1213.47,1182.50,1539.69,1163.94,1087.81,1314.10,1286.18,1286.67,1182.00,1239.48,1230.37,1155.56,1197.65,1170.60,1022.99,1075.53,1421.30,1095.20,1167.18,1314.10,1547.05,1029.87
1974,1414.53,1351.80,1692.82,1326.62,1279.00,1552.00,1515.45,1449.52,1418.28,1397.78,1470.28,1352.12,1422.49,1331.45,1297.76,1321.00,1572.97,1233.40,1371.62,1552.00,1663.89,1306.72
1975,1022.86,980.60,1218.67,964.20,943.09,1127.00,1087.10,1049.15,1014.69,1015.17,1049.02,985.23,1012.78,967.07,948.83,954.21,1136.01,903.50,998.00,1127.00,1178.43,954.37
1976,1490.10,1392.00,1810.05,1368.18,1299.75,1685.30,1637.48,1553.43,1541.75,1479.20,1589.16,1395.84,1532.51,1374.86,1290.05,1423.43,1674.11,1280.00,1433.95,1685.30,1765.49,1299.69
1977,1230.42,1166.10,1344.68,1139.56,1119.36,1234.70,1268.66,1281.73,1204.51,1238.84,1266.03,1211.47,1272.51,1140.55,1215.55,1199.48,1305.31,1041.30,1250.55,1234.70,1248.82,1225.59
1978,1459.37,1350.90,1665.36,1323.55,1291.04,1564.90,1563.75,1511.20,1480.28,1443.47,1544.45,1397.37,1518.82,1327.50,1376.31,1435.06,1575.06,1222.30,1447.61,1564.90,1601.11,1387.76
1979,1582.15,1470.40,1957.47,1441.14,1367.13,1755.90,1722.25,1663.93,1605.51,1578.86,1667.59,1491.53,1616.17,1449.24,1395.49,1465.62,1804.16,1332.80,1537.89,1755.90,1934.79,1407.59
1980,1450.44,1374.90,1770.17,1347.21,1289.32,1616.30,1571.16,1492.89,1467.76,1431.68,1518.84,1378.78,1461.47,1352.24,1318.92,1333.22,1632.72,1244.70,1402.84,1616.30,1707.62,1329.70
1981,1407.93,1390.40,1649.45,1364.63,1300.93,1435.60,1449.07,1474.07,1356.45,1437.53,1416.95,1372.89,1410.42,1368.04,1278.37,1305.14,1569.28,1269.20,1385.89,1435.60,1597.21,1286.25
1982,1095.74,1003.70,1313.91,984.11,961.51,1225.40,1193.72,1119.71,1135.64,1063.87,1160.66,1027.85,1122.85,990.77,1003.39,1096.13,1211.26,911.60,1062.62,1225.40,1286.22,1008.68
1983,1023.29,1017.90,1272.87,1003.25,954.75,1112.90,1068.97,1066.88,976.87,1041.60,1016.69,993.30,980.81,1008.52,908.13,880.03,1181.05,949.00,990.42,1112.90,1291.51,915.24
1984,1315.12,1204.00,1570.46,1170.21,1136.42,1452.60,1433.70,1392.83,1348.32,1317.42,1401.79,1243.09,1371.38,1172.96,1174.92,1292.92,1467.00,1045.10,1297.50,1452.60,1500.37,1182.44
1985,1217.00,1137.40,1485.79,1110.86,1058.82,1337.70,1319.37,1270.77,1237.99,1209.80,1282.39,1153.19,1246.23,1114.53,1096.59,1135.57,1374.30,1012.60,1186.25,1337.70,1435.65,1105.78
