Variable:,pr
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1942,1067.82,970.14,1034.46,1043.95,875.52,800.10,1011.99,869.26,835.66,1185.47,1124.24,849.75,1034.74,850.45,1300.74,1305.90,1058.40,924.80,1148.21,885.51,906.10,1210.88,1342.44,1197.77,889.16,1056.67,1028.47
1943,963.71,827.30,877.01,882.05,756.31,687.50,925.24,843.09,840.71,1016.21,989.43,778.89,898.61,826.94,1183.63,1193.30,895.52,759.97,978.67,776.28,735.39,1086.95,1201.42,1150.60,887.54,886.83,856.85
1944,1262.08,1118.66,1291.23,1301.58,994.26,900.00,1196.53,1081.43,1037.49,1440.71,1362.69,999.55,1198.32,1051.27,1550.10,1557.00,1312.24,1106.59,1394.84,1014.38,1090.29,1347.59,1607.02,1349.66,1093.50,1267.80,1242.25
1945,1108.28,968.29,1104.11,1113.40,884.34,789.40,1049.27,900.60,793.23,1260.76,1200.92,836.92,1051.99,843.28,1380.62,1388.50,1126.55,935.29,1200.12,893.51,923.22,1275.38,1425.85,1227.60,881.40,1082.99,1055.99
1946,1170.24,1031.24,1013.97,1023.23,948.04,868.90,1143.93,1015.62,945.51,1228.85,1173.26,913.42,1125.73,953.80,1464.19,1475.80,1048.14,920.40,1180.38,956.87,882.88,1342.82,1484.33,1417.43,1029.60,1074.20,1031.45
1947,1045.04,822.89,953.35,963.30,750.77,672.00,954.10,871.65,897.32,1152.29,1156.19,766.58,907.05,851.34,1247.68,1249.30,983.76,789.43,1057.31,770.23,796.96,1251.39,1345.11,1259.62,945.76,918.88,894.57
1948,1183.20,1050.99,1026.35,1036.30,971.08,898.40,1153.43,1034.78,1019.93,1241.52,1202.46,992.65,1134.38,1019.52,1469.72,1481.00,1061.16,946.75,1192.35,992.38,901.24,1336.77,1490.66,1394.40,1072.42,1087.35,1048.24
1949,901.03,718.64,821.74,830.34,648.89,570.50,823.68,728.47,710.35,989.57,998.03,637.99,799.01,673.74,1099.84,1104.70,847.69,692.20,927.88,663.25,672.37,1137.03,1159.02,1071.79,752.65,815.46,792.21
1950,1248.73,1109.91,1106.12,1115.86,1051.84,958.80,1236.58,1112.89,1028.37,1329.15,1272.51,1058.80,1205.68,1081.80,1552.98,1564.00,1141.57,1002.30,1281.31,1074.09,954.98,1385.96,1583.73,1418.17,1117.76,1164.29,1123.19
1951,1331.13,1109.57,1047.70,1061.32,1110.45,1008.60,1282.65,1146.54,1156.27,1349.16,1349.97,1126.10,1206.31,1173.47,1582.66,1588.40,1098.36,983.57,1282.63,1133.61,902.41,1601.15,1669.11,1665.81,1226.38,1132.65,1093.80
1952,1378.74,1185.90,1239.27,1250.27,1112.87,1019.30,1375.33,1268.64,1204.63,1460.13,1402.80,1144.98,1305.15,1230.42,1733.96,1751.10,1270.94,1106.09,1406.44,1139.57,1053.95,1528.78,1748.34,1547.75,1287.02,1265.58,1229.55
1953,932.03,798.65,873.68,883.22,724.45,650.70,868.44,755.26,718.28,1024.68,987.04,704.77,871.86,737.76,1138.66,1144.10,897.46,747.33,969.42,735.54,756.74,1111.79,1180.31,1093.97,796.94,876.69,847.60
1954,1359.04,1167.17,1234.87,1245.36,1088.11,981.70,1307.18,1177.53,1085.51,1467.82,1421.45,1085.93,1270.48,1130.22,1659.94,1666.80,1270.75,1078.12,1404.29,1110.62,1057.37,1578.03,1734.76,1564.05,1186.18,1258.60,1218.15
1955,1249.26,1130.89,1164.88,1176.10,1025.55,927.80,1250.98,1130.85,1052.70,1310.48,1214.54,1043.35,1225.39,1084.75,1554.01,1572.30,1186.69,1063.60,1298.61,1051.62,1027.58,1310.84,1520.33,1456.24,1152.00,1211.32,1176.21
1956,1255.36,1132.77,1179.97,1189.79,1028.40,951.70,1205.99,1055.11,1042.74,1348.76,1278.67,997.27,1220.20,1046.12,1551.52,1564.40,1205.39,1041.35,1302.91,1036.09,1029.92,1426.50,1556.77,1443.48,1108.89,1205.05,1163.88
1957,1178.85,998.86,1079.52,1087.41,900.90,813.40,1083.57,929.74,864.89,1302.32,1287.26,881.15,1090.29,908.22,1472.15,1479.60,1114.22,947.66,1215.80,915.00,927.24,1442.90,1534.90,1379.89,963.48,1082.31,1051.82
1958,1360.61,1194.83,1258.63,1271.67,1108.79,1019.70,1295.40,1139.43,1122.61,1488.21,1418.37,1083.96,1281.92,1134.90,1671.90,1677.40,1292.18,1123.40,1411.06,1120.29,1085.93,1559.81,1755.59,1561.71,1201.33,1264.40,1232.38
1959,1116.78,914.75,924.06,933.94,850.69,785.60,1066.66,933.28,868.12,1121.06,1089.32,852.81,1001.92,891.13,1375.16,1393.40,955.77,855.57,1068.27,864.41,818.10,1353.43,1360.43,1508.84,994.73,958.00,933.21
1960,1480.67,1187.86,1270.64,1282.50,1096.80,1014.10,1350.55,1219.82,1266.93,1618.19,1629.48,1108.05,1298.93,1201.56,1820.25,1825.00,1326.26,1104.12,1470.88,1115.29,1064.93,1843.12,1952.24,1786.08,1304.59,1268.06,1231.09
1961,1106.51,1017.32,1003.50,1011.79,927.27,853.30,1095.47,971.84,928.61,1157.30,1105.66,921.24,1094.39,950.72,1409.11,1425.70,1025.48,935.00,1130.78,941.43,884.13,1219.63,1383.48,1260.58,989.88,1047.63,1015.45
1962,1016.92,872.57,1018.25,1025.90,778.83,702.50,949.62,850.19,874.69,1143.33,1114.20,783.12,945.62,847.09,1238.15,1242.60,1033.75,865.07,1092.11,794.65,858.46,1125.18,1295.87,1118.55,900.31,983.51,963.76
1963,1257.27,1044.27,1043.73,1051.44,988.51,909.60,1189.03,1074.45,1081.93,1311.81,1318.34,1044.54,1137.29,1086.63,1525.11,1533.80,1088.85,955.82,1223.81,1019.14,923.14,1506.91,1585.77,1534.98,1143.64,1085.82,1052.15
1964,1044.18,902.64,1080.74,1086.43,776.55,710.10,946.22,809.66,766.70,1199.07,1167.60,748.97,968.91,758.65,1282.58,1287.60,1094.40,906.44,1141.66,785.15,902.02,1217.55,1338.27,1177.45,824.37,1030.87,1011.36
1965,1498.05,1395.78,1469.89,1483.18,1247.78,1139.40,1486.10,1353.96,1314.77,1618.29,1499.99,1242.21,1497.73,1315.76,1870.87,1889.00,1488.42,1323.37,1600.02,1269.46,1292.59,1587.86,1849.38,1600.25,1374.52,1497.86,1456.98
1966,1358.25,1211.04,1355.22,1364.62,1082.62,1008.50,1246.19,1074.54,1020.48,1553.98,1502.57,1061.03,1275.58,1062.39,1637.26,1635.40,1384.48,1196.78,1480.07,1093.69,1179.75,1540.25,1760.04,1496.09,1114.67,1332.61,1309.89
1967,1133.60,1024.98,1119.11,1129.75,928.93,867.80,1068.07,952.54,947.66,1276.96,1220.74,927.24,1080.31,959.90,1365.34,1368.00,1143.51,995.24,1230.62,939.99,968.15,1275.17,1433.45,1198.83,979.28,1121.41,1098.94
1968,1372.85,1237.44,1188.91,1201.62,1163.63,1092.10,1353.58,1230.24,1200.60,1433.72,1378.85,1170.34,1320.43,1209.45,1690.11,1703.00,1229.32,1123.09,1374.28,1180.35,1068.30,1507.19,1712.82,1601.26,1272.15,1255.90,1217.94
1969,1125.03,1067.02,1042.58,1052.45,974.60,912.40,1112.62,992.71,948.94,1184.91,1102.67,964.98,1123.59,971.02,1353.38,1364.30,1067.15,1001.88,1181.43,985.49,932.95,1221.04,1341.16,1272.24,1002.04,1119.51,1090.11
