Variable:,pr
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1956,554.94,544.18,609.18,565.88,484.99,543.39,667.62,508.71,469.97,570.53,494.48,552.94,620.40,626.94,492.30,467.14,475.60,503.35,646.13,570.59,565.86,566.26,616.55,683.93,539.15,668.75
1957,462.57,450.32,540.67,554.49,369.10,422.82,692.79,393.06,350.36,465.17,395.67,419.23,512.36,619.96,376.40,356.68,402.22,432.23,538.35,502.69,509.64,452.78,543.15,741.13,414.91,521.12
1958,611.12,621.71,656.67,652.44,572.29,606.99,809.88,624.35,389.36,628.21,588.93,425.90,647.13,778.35,622.00,485.43,512.26,623.55,684.84,661.49,656.88,620.27,671.51,857.25,521.58,686.90
1959,467.99,432.20,428.03,533.34,416.03,446.79,657.64,443.50,411.24,502.76,422.56,478.31,446.57,616.46,430.00,414.81,420.41,421.43,517.95,466.40,524.61,480.98,516.65,691.91,439.73,495.60
1960,644.33,653.59,650.58,657.25,607.29,573.97,826.32,651.56,549.89,631.46,609.12,593.43,676.84,824.44,562.89,561.24,528.36,668.45,687.27,704.51,652.32,641.53,707.67,907.84,602.73,681.11
1961,463.46,463.02,501.49,479.26,427.46,506.68,517.48,442.70,397.08,454.56,432.38,482.19,502.55,482.19,487.24,408.46,428.60,447.09,426.59,496.23,445.17,487.93,409.19,519.82,468.21,506.58
1962,550.59,548.37,579.17,640.58,448.42,452.32,782.16,434.64,442.54,644.55,505.19,525.36,612.79,748.58,445.06,481.44,478.05,449.21,668.62,495.72,667.47,616.35,658.97,750.66,467.12,684.99
1963,488.50,493.10,461.37,531.68,482.48,514.95,639.89,521.73,370.63,457.86,494.36,408.96,460.01,595.72,536.40,437.50,459.52,512.17,481.52,507.63,499.73,468.77,509.77,696.64,459.41,450.78
1964,531.58,514.46,558.83,630.71,444.83,453.84,778.54,481.22,383.60,634.74,463.40,452.12,583.85,722.62,444.46,400.06,423.83,495.07,620.88,553.02,648.59,590.11,593.00,800.94,440.78,655.68
1965,596.25,633.58,595.67,642.73,547.96,493.91,832.95,574.15,485.99,625.74,621.45,519.77,618.68,814.10,477.47,564.16,526.57,615.01,603.34,639.80,675.58,599.41,611.27,878.24,500.14,618.90
1966,688.41,767.42,706.10,685.79,647.81,639.80,867.58,637.95,565.46,660.09,699.03,576.48,764.70,887.33,623.13,629.69,635.06,693.68,673.99,686.76,689.33,726.44,713.06,927.71,642.12,727.14
1967,534.63,544.98,582.27,581.44,484.99,528.12,728.16,480.23,431.42,525.99,501.31,524.80,576.78,693.16,477.28,446.51,436.08,520.73,573.63,533.80,567.57,511.66,584.63,743.59,519.98,577.26
1968,565.65,579.11,552.63,654.06,444.89,458.32,785.96,495.08,439.27,652.29,501.56,548.06,622.79,795.40,450.96,480.22,500.02,507.52,664.92,554.09,669.56,654.86,662.43,801.88,437.72,697.84
1969,557.71,544.09,620.34,664.75,511.97,526.86,730.00,505.38,458.40,617.57,516.03,475.44,588.69,646.54,480.50,492.69,538.28,528.09,581.58,569.91,633.21,586.75,528.01,729.05,515.12,648.89
1970,679.64,723.78,712.08,785.62,603.54,575.21,895.58,631.06,505.03,728.22,659.02,553.56,771.52,831.25,529.09,578.91,569.30,702.10,764.28,733.93,726.47,754.63,728.66,975.36,573.11,812.30
1971,551.73,635.21,674.04,676.90,473.69,448.97,698.48,477.47,340.06,664.80,564.11,342.86,672.86,609.88,410.90,463.74,527.39,597.71,582.85,626.09,650.51,667.54,518.49,655.54,410.35,686.35
1972,499.36,447.61,472.65,667.36,430.45,446.81,720.95,478.02,380.13,583.31,424.54,444.25,483.29,674.33,417.67,393.16,497.53,443.63,584.21,473.41,615.90,568.62,614.33,705.08,426.05,568.35
1973,575.95,545.65,619.18,520.34,599.88,627.81,625.57,657.15,527.66,501.81,539.66,587.35,549.76,604.71,606.56,507.97,440.95,635.41,566.63,713.83,525.23,501.62,562.00,636.93,603.57,556.27
1974,573.40,533.56,556.98,793.80,444.33,493.26,930.68,476.00,371.36,741.28,486.59,398.93,590.78,872.61,522.48,442.51,488.35,470.03,728.99,524.24,765.39,678.27,725.72,965.14,411.48,725.20
1975,437.02,371.96,414.63,615.07,344.20,364.89,734.64,362.95,311.29,561.58,348.86,315.21,422.63,699.39,348.42,337.84,397.87,355.83,569.35,404.36,596.37,491.11,562.67,775.40,354.76,529.02
1976,583.38,545.46,515.21,663.58,597.40,631.61,732.21,606.48,491.88,652.24,545.59,497.62,559.42,673.39,613.39,503.00,509.32,578.21,591.12,554.92,653.49,608.11,548.85,747.72,606.79,620.90
1977,640.12,641.74,660.52,619.37,644.65,708.13,758.58,678.62,546.67,590.32,619.86,527.09,655.48,711.10,710.29,568.32,513.66,672.69,665.87,704.93,601.50,576.34,645.35,807.00,619.31,671.53
1978,611.06,597.57,563.35,762.05,617.10,547.99,884.92,648.49,465.49,685.85,593.89,467.03,596.67,759.82,510.91,523.11,529.19,646.43,635.68,645.37,717.60,662.36,600.88,885.08,543.54,657.03
1979,547.11,561.49,581.82,612.91,489.13,438.22,744.89,545.59,419.75,550.35,522.79,484.80,583.90,704.22,407.40,476.70,512.89,577.29,576.16,653.08,575.32,570.35,582.94,804.07,454.56,582.89
1980,708.98,754.39,750.95,775.08,629.23,641.78,935.60,671.89,503.96,765.02,705.28,554.61,769.86,899.79,651.38,604.45,612.26,724.17,775.01,771.53,768.79,756.21,726.88,1003.69,579.22,808.53
1981,663.06,680.79,672.08,739.61,639.41,579.59,827.62,653.88,551.16,707.69,661.04,643.04,676.10,756.46,591.11,605.48,574.43,718.14,675.05,745.06,715.45,688.97,629.72,828.44,583.51,708.18
1982,487.59,502.68,537.50,504.16,425.41,460.65,614.09,494.00,379.71,497.20,453.04,436.83,540.34,543.95,486.40,393.86,378.58,490.81,535.08,575.98,474.48,501.46,465.34,695.12,406.57,587.08
1983,491.36,472.60,508.25,548.44,399.48,458.70,647.57,446.87,384.57,572.49,426.08,462.73,535.94,663.35,408.46,383.88,380.92,426.54,596.04,492.56,579.13,562.50,562.49,659.06,434.90,611.92
1984,517.04,563.74,554.03,663.97,445.00,394.57,748.76,420.28,387.76,565.93,545.60,391.43,576.69,653.86,381.61,490.93,521.90,485.22,564.50,506.15,580.46,590.36,543.60,811.50,406.52,598.49
