Variable:,pr
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1968,924.36,735.15,1109.74,759.11,550.07,564.84,1583.42,1205.63,926.19,1232.73,770.93,679.12,774.13,1624.75,783.81,1405.76,844.89,773.76,1444.00,885.56
1969,891.08,667.81,1001.04,710.48,382.37,549.03,1723.27,1370.44,960.56,1099.46,695.50,696.44,719.44,1551.52,852.19,1649.37,782.85,597.03,1321.79,802.85
1970,922.28,773.12,1138.98,809.60,446.38,635.94,1753.70,1158.40,1022.94,1074.82,765.17,710.29,827.75,1732.26,863.59,1484.97,887.42,596.05,1508.52,899.15
1971,1177.98,680.17,1056.84,737.26,548.85,612.94,2200.59,2017.48,1467.16,1685.66,728.33,837.30,721.98,1816.83,1217.50,2279.72,799.52,822.14,1426.80,786.31
1972,950.73,731.83,1111.81,731.60,502.90,593.84,1622.04,1096.98,1031.10,1466.85,764.57,655.29,777.99,1624.72,788.46,1406.64,847.12,807.86,1457.67,897.81
1973,1191.82,654.83,1069.40,700.00,562.30,633.88,2246.17,2049.68,1494.14,1718.75,670.18,819.48,699.80,1796.40,1280.70,2286.27,815.10,841.23,1422.86,783.18
1974,963.44,835.97,1218.52,837.23,543.78,644.73,1871.71,1210.40,948.21,1069.47,845.62,759.95,894.21,1883.48,790.28,1598.47,914.03,609.33,1656.69,965.75
1975,1215.68,663.99,1120.02,709.34,660.82,570.63,2144.61,1887.30,1466.45,1946.37,666.62,774.11,708.34,1879.41,1183.81,2125.76,818.12,1075.43,1541.28,800.08
1976,876.34,578.68,944.47,625.40,414.79,510.21,1437.64,1467.78,1068.63,1140.91,604.39,693.97,627.88,1371.29,948.24,1564.02,696.13,570.51,1290.86,707.08
1977,944.45,763.59,1207.83,774.22,545.23,606.44,1627.81,1038.84,1046.02,1280.27,840.99,657.02,807.93,1756.92,809.14,1320.29,895.45,720.82,1608.59,961.68
1978,999.76,619.04,1088.86,719.90,525.90,559.87,1787.16,1659.36,1141.12,1214.54,622.62,772.24,672.73,1641.03,1022.95,1843.41,821.99,716.80,1437.80,777.07
