Variable:,pr
,Macedonia,Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
1959,770.63,661.82,790.39,859.03,1140.89,665.27,840.40,613.51,1175.15,676.75,1057.17,642.67,736.11,744.63,807.40,648.64,622.60,1061.11,752.67,648.79,617.43,935.59,751.35,583.36,1070.50,594.55,594.92,934.57,604.05,635.72,651.47
1960,775.97,743.90,751.96,849.79,1101.23,748.44,808.90,640.57,1126.14,659.25,1020.35,696.38,788.52,798.96,777.00,682.41,639.63,1024.63,715.05,692.24,668.37,902.07,762.06,618.65,1031.49,658.54,610.48,942.00,637.24,637.27,727.48
1961,594.18,579.83,555.31,647.84,815.37,588.57,594.16,489.77,847.77,500.90,764.24,565.13,632.23,641.41,570.40,538.92,496.12,753.80,541.32,562.78,533.32,656.38,589.83,507.64,759.86,515.95,478.63,729.37,489.94,488.39,570.03
1962,763.80,660.38,795.08,848.68,1128.64,662.64,857.13,627.89,1129.86,663.90,1038.60,635.55,716.77,725.79,825.10,624.96,620.35,1075.77,742.10,638.91,615.00,959.06,732.71,579.02,1080.53,619.99,574.42,926.54,622.98,609.96,649.34
1963,799.97,706.50,794.27,904.85,1157.81,702.02,856.48,648.28,1197.16,686.93,1079.19,679.64,760.67,767.59,825.00,688.89,656.28,1070.05,756.87,688.88,663.96,947.09,799.33,634.80,1076.02,643.76,636.94,999.09,642.22,672.88,696.54
1964,699.35,614.41,698.11,788.03,981.93,621.60,741.52,566.55,1022.20,619.92,923.32,609.21,685.64,691.92,717.20,621.13,585.90,906.24,675.17,612.73,582.36,810.55,703.29,558.54,911.12,544.09,564.44,864.92,556.13,596.44,606.78
1965,571.44,513.88,557.15,651.01,837.01,513.37,610.30,450.93,871.93,477.67,780.99,484.27,552.37,557.13,586.70,503.26,455.50,768.66,530.05,486.24,468.11,669.44,579.02,438.06,774.90,453.64,451.68,728.26,446.55,481.83,503.45
1966,730.84,693.06,675.21,814.92,1090.31,701.87,745.79,532.29,1103.49,559.53,1000.22,660.16,757.20,764.57,703.90,681.67,555.78,1022.60,628.05,656.30,619.22,852.29,752.78,582.33,1037.85,570.13,591.49,936.50,529.97,619.00,678.07
1967,666.92,649.92,632.28,750.54,912.28,645.04,669.24,539.65,969.07,572.71,864.07,608.31,708.67,718.95,646.40,602.59,555.13,816.61,616.28,617.19,586.24,720.11,675.97,547.36,828.56,550.80,551.47,823.20,533.76,577.77,636.46
1968,694.43,645.68,655.49,788.36,1008.24,642.98,714.66,533.97,1042.74,563.77,936.38,609.64,706.85,713.29,683.50,639.14,548.83,921.24,623.37,616.89,585.46,791.56,715.72,551.19,931.94,552.14,566.47,886.14,529.99,598.21,633.14
1969,729.25,658.31,676.35,844.79,1113.62,655.13,752.38,545.95,1144.04,572.64,1024.38,623.65,712.80,717.62,711.80,661.55,562.86,1020.46,639.04,629.86,601.08,847.62,755.16,570.01,1035.22,564.91,583.12,950.13,542.20,618.77,646.01
1970,681.30,617.82,642.24,773.92,986.07,626.38,698.52,504.72,1025.98,555.60,919.28,604.50,683.65,687.27,667.90,645.74,540.46,902.60,613.44,603.81,571.26,775.31,714.65,547.34,912.05,504.64,568.70,879.24,495.37,600.41,607.99
1971,688.50,698.43,647.50,742.09,940.92,702.71,684.88,558.03,978.40,572.93,880.29,662.41,750.44,765.02,657.60,603.26,570.91,870.47,618.97,661.90,627.99,771.28,672.41,590.11,875.13,596.54,565.24,820.75,557.60,576.99,683.86
1972,756.72,690.76,771.95,822.05,1022.97,690.37,800.86,642.61,1052.37,691.38,959.66,666.62,763.62,771.98,779.00,676.47,649.74,954.15,743.65,675.41,644.66,882.85,744.22,608.94,953.40,624.63,607.66,898.86,633.47,636.38,679.75
1973,731.43,676.92,732.71,810.61,1009.54,689.12,775.41,606.61,1060.41,640.50,951.68,659.24,742.60,754.70,753.80,621.35,610.43,926.20,699.58,655.18,623.27,851.29,715.20,586.80,926.25,608.49,584.07,880.93,601.42,613.00,664.46
1974,708.05,637.76,703.88,791.78,1010.79,640.07,759.40,565.38,1035.31,603.29,939.89,616.46,696.85,703.98,733.10,623.57,576.84,938.79,667.60,620.55,592.44,837.14,707.71,563.50,942.85,566.33,570.68,871.51,559.71,601.42,627.66
1975,561.15,615.60,530.35,560.79,680.88,634.97,549.68,480.51,711.68,491.12,644.99,590.30,687.43,701.88,539.00,541.46,485.88,624.30,519.65,579.25,538.74,587.60,543.12,493.90,624.27,518.58,462.35,648.36,480.37,460.69,599.66
1976,771.76,715.43,739.92,855.93,1089.36,733.39,784.99,617.79,1134.77,665.31,1016.88,700.77,800.01,808.73,753.30,711.27,637.30,996.09,717.28,694.05,655.12,868.60,778.93,615.52,1005.95,612.78,619.67,959.55,608.29,650.81,702.13
1977,516.49,526.04,437.46,574.59,723.15,536.30,483.84,390.71,772.97,401.87,677.70,505.59,582.05,588.53,460.00,515.49,408.81,635.59,435.85,500.74,467.54,519.64,546.95,440.24,650.04,429.66,434.27,687.75,390.83,446.02,514.22
1978,692.74,655.92,651.28,784.38,974.92,665.79,714.31,550.74,1039.01,565.50,919.61,633.32,712.84,721.71,690.60,623.45,558.15,871.47,623.76,629.07,597.86,766.86,706.80,565.55,879.76,577.53,566.89,879.70,549.85,592.91,643.50
1979,811.38,727.25,797.71,915.41,1212.88,737.70,874.35,622.79,1219.12,658.67,1113.45,702.14,792.94,801.09,834.40,710.42,633.37,1140.52,742.14,698.20,665.11,980.48,811.84,627.91,1152.89,638.45,636.27,1010.37,618.73,673.62,713.72
1980,756.50,693.23,725.56,853.23,1066.17,698.34,781.56,597.37,1123.61,640.48,1002.28,667.09,762.25,768.39,754.00,698.59,614.79,966.70,699.95,668.86,636.46,853.83,779.66,601.31,973.76,598.83,621.98,958.74,589.90,658.00,680.77
1981,684.31,630.30,656.07,775.19,967.79,640.34,714.11,532.64,1010.10,567.50,907.30,609.51,708.20,714.84,689.00,639.62,544.98,880.99,628.55,608.56,571.78,775.11,708.63,536.19,889.25,542.61,551.79,877.98,527.47,584.13,617.61
1982,666.47,635.18,698.63,695.91,879.47,631.00,728.03,596.15,898.96,612.86,823.98,578.39,683.59,694.30,714.40,574.22,566.63,825.39,660.17,582.58,562.91,790.84,638.42,506.80,823.34,601.39,531.85,760.55,594.47,563.46,618.38
1983,661.80,654.39,649.05,705.61,879.72,660.35,672.48,552.45,924.89,585.00,829.63,627.30,723.49,736.88,653.00,587.34,565.40,806.32,625.62,629.23,593.25,741.72,639.62,554.70,808.36,562.04,539.80,771.97,546.82,555.38,641.16
1984,548.43,496.99,551.18,605.81,788.24,510.37,606.26,443.47,806.86,461.26,730.30,479.17,545.52,551.52,588.30,485.59,436.10,726.01,518.06,470.23,448.05,649.10,545.71,414.90,731.61,453.28,424.89,685.94,441.96,450.94,485.51
1985,549.05,466.45,545.23,625.38,845.51,470.46,605.14,420.25,854.86,451.58,773.72,450.64,515.04,518.86,577.60,475.52,425.82,789.92,510.79,451.98,431.06,675.79,553.32,406.55,797.21,416.19,419.93,708.53,415.27,450.93,458.50
1986,625.08,567.64,624.09,694.34,895.99,569.22,677.06,507.72,934.05,540.38,835.61,532.53,612.81,618.23,656.20,556.78,507.79,816.15,595.89,532.85,513.51,727.44,624.60,474.86,822.62,504.98,491.52,778.31,502.00,523.67,555.34
1987,715.88,679.44,698.20,806.60,999.85,681.35,747.01,589.15,1061.14,613.34,944.44,630.91,709.37,717.69,723.80,625.45,587.09,904.13,669.53,626.44,609.93,814.89,717.17,564.13,908.94,603.15,572.41,880.57,585.78,605.57,663.89
1988,555.04,539.48,507.66,627.25,771.00,544.56,565.02,428.54,811.95,441.62,726.96,513.27,585.92,591.79,544.90,525.97,440.05,696.78,489.05,511.28,484.52,601.73,582.51,456.33,705.32,458.11,464.63,720.88,427.97,485.24,527.97
1989,557.07,541.05,521.85,622.42,759.43,547.98,548.87,434.12,806.21,469.81,717.54,521.75,603.73,610.94,528.90,529.52,454.31,679.52,510.35,522.05,489.44,598.41,574.18,461.14,688.13,448.21,464.88,703.12,429.37,485.08,530.35
1990,527.70,509.34,529.55,561.72,716.25,504.72,554.85,441.23,731.22,466.86,666.48,478.00,530.65,536.91,538.50,466.07,450.88,669.27,505.29,482.13,469.47,616.18,514.37,443.72,668.99,446.81,425.80,631.19,437.18,436.94,501.18
1991,657.95,674.66,624.07,708.85,853.63,676.28,660.93,543.44,892.73,569.69,808.58,626.03,705.64,714.07,643.20,619.53,558.35,781.72,609.83,622.72,602.44,707.88,664.03,559.74,784.69,566.83,553.31,799.70,539.31,569.18,660.09
1992,583.19,563.15,577.16,641.34,780.57,561.89,607.37,483.28,816.63,518.33,738.48,529.07,583.20,590.08,591.50,513.80,497.49,712.96,559.77,528.76,516.25,651.03,582.51,486.56,718.16,485.11,484.60,698.23,477.22,504.66,552.98
1993,495.87,424.91,503.58,556.45,758.30,424.53,557.76,376.06,761.81,413.22,692.09,405.78,459.07,462.65,535.10,422.14,382.84,709.70,475.26,408.84,392.93,613.96,493.27,372.24,715.85,376.75,382.37,619.49,372.23,408.96,417.92
1994,625.78,590.74,626.32,677.08,883.76,589.19,654.71,525.92,906.72,549.58,820.71,550.35,611.61,618.98,629.30,536.81,526.41,826.96,591.18,549.11,537.68,738.75,605.26,500.84,831.89,528.47,493.69,745.98,521.36,515.46,578.40
1995,736.42,706.26,699.80,810.66,1036.98,713.38,741.87,603.67,1103.10,631.56,969.29,669.98,772.98,782.63,715.00,673.94,608.81,921.59,679.25,667.87,635.06,810.52,737.22,588.85,929.36,615.64,583.66,923.60,598.72,609.94,690.24
1996,676.93,594.03,671.13,761.98,1016.51,598.09,738.33,515.78,1036.96,559.80,932.77,570.22,662.70,668.47,709.10,602.56,523.58,933.71,635.90,573.71,542.33,809.31,683.39,509.38,942.27,521.68,529.27,856.95,511.01,565.85,582.93
1997,552.95,530.40,518.73,617.01,756.93,533.17,550.39,463.57,798.63,473.49,714.16,509.84,574.15,581.26,530.10,501.56,468.13,686.46,503.08,510.70,487.98,603.77,561.29,461.80,691.99,474.00,451.29,694.59,461.15,467.72,520.55
1998,666.24,642.13,625.15,739.50,905.70,647.21,672.79,545.68,947.99,565.16,854.93,612.90,702.84,711.32,649.20,616.12,549.87,830.13,610.67,613.13,581.95,724.24,681.66,545.92,837.27,566.46,551.67,831.61,543.76,576.32,629.02
1999,688.19,648.47,660.40,768.41,993.01,652.01,709.85,545.40,1028.73,575.67,920.48,616.02,701.10,708.93,680.70,620.36,560.10,906.63,629.05,616.13,588.86,792.13,687.88,552.02,913.20,555.07,542.98,868.61,539.70,567.31,635.64
2000,449.90,381.10,430.60,520.38,685.97,388.54,481.51,327.10,706.80,360.05,631.54,382.93,442.13,445.17,460.00,410.38,342.47,624.63,411.25,385.28,357.23,531.03,468.79,344.73,631.60,328.14,359.92,595.34,322.96,384.94,375.99
2001,519.31,476.47,489.32,590.41,725.43,480.23,523.95,415.41,768.55,428.66,683.12,465.06,550.59,555.35,505.20,499.65,417.69,649.37,468.38,471.30,437.40,573.23,548.60,413.59,654.72,428.00,416.33,694.34,414.04,437.56,467.92
